DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
05.01.2021;07:15;07:30;63,900;;63,900
05.01.2021;07:30;07:45;63,830;;63,830
05.01.2021;07:45;08:00;59,030;;59,030
05.01.2021;08:00;08:15;72,020;;72,020
05.01.2021;08:15;08:30;69,540;;69,540
05.01.2021;08:30;08:45;76,080;;76,080
05.01.2021;08:45;09:00;79,680;;79,680
05.01.2021;09:00;09:15;61,240;;61,240
05.01.2021;09:15;09:30;60,160;;60,160
05.01.2021;09:30;09:45;61,910;;61,910
05.01.2021;09:45;10:00;57,590;;57,590
05.01.2021;10:00;10:15;83,050;;83,050
05.01.2021;10:15;10:30;76,960;;76,960
05.01.2021;10:30;10:45;55,540;;55,540
05.01.2021;10:45;11:00;85,720;;85,720
05.01.2021;11:00;11:15;60,220;;60,220
05.01.2021;11:15;11:30;65,540;;65,540
05.01.2021;11:30;11:45;65,410;;65,410
05.01.2021;11:45;12:00;77,110;;77,110
05.01.2021;12:00;12:15;81,200;;81,200
05.01.2021;12:15;12:30;96,830;;96,830
05.01.2021;12:30;12:45;91,430;;91,430
05.01.2021;12:45;13:00;84,890;;84,890
05.01.2021;13:00;13:15;73,180;;73,180
05.01.2021;13:15;13:30;70,080;;70,080
05.01.2021;13:30;13:45;67,260;;67,260
05.01.2021;13:45;14:00;64,450;;64,450
05.01.2021;14:00;14:15;81,150;;81,150
05.01.2021;14:15;14:30;83,190;;83,190
05.01.2021;14:30;14:45;83,080;;83,080
05.01.2021;14:45;15:00;88,370;;88,370
05.01.2021;15:00;15:15;76,950;;76,950
05.01.2021;15:15;15:30;76,950;;76,950
05.01.2021;15:30;15:45;75,540;;75,540
05.01.2021;15:45;16:00;70,630;;70,630
05.01.2021;16:00;16:15;68,340;;68,340
05.01.2021;16:15;16:30;70,750;;70,750
05.01.2021;16:30;16:45;70,970;;70,970
05.01.2021;16:45;17:00;74,460;;74,460
05.01.2021;17:00;17:15;66,470;;66,470
05.01.2021;17:15;17:30;86,090;;86,090
05.01.2021;17:30;17:45;73,250;;73,250
05.01.2021;17:45;18:00;63,940;;63,940
05.01.2021;18:00;18:15;72,200;;72,200
05.01.2021;18:15;18:30;57,390;;57,390
05.01.2021;18:30;18:45;60,520;;60,520
05.01.2021;18:45;19:00;66,470;;66,470
05.01.2021;19:00;19:15;68,920;;68,920
05.01.2021;19:15;19:30;68,280;;68,280
05.01.2021;19:30;19:45;58,070;;58,070
05.01.2021;19:45;20:00;41,100;;41,100
05.01.2021;20:00;20:15;55,810;;55,810
05.01.2021;20:15;20:30;51,710;;51,710
05.01.2021;20:30;20:45;47,900;;47,900
05.01.2021;20:45;21:00;47,660;;47,660
05.01.2021;21:00;21:15;60,060;;60,060
05.01.2021;21:15;21:30;55,360;;55,360
05.01.2021;21:30;21:45;42,640;;42,640
05.01.2021;21:45;22:00;39,820;;39,820
05.01.2021;22:00;22:15;53,620;;53,620
05.01.2021;22:15;22:30;47,180;;47,180
05.01.2021;22:30;22:45;39,580;;39,580
05.01.2021;22:45;23:00;46,360;;46,360
05.01.2021;23:00;23:15;59,290;;59,290
05.01.2021;23:15;23:30;59,940;;59,940
05.01.2021;23:30;23:45;49,250;;49,250
05.01.2021;23:45;00:00;43,950;;43,950
